name,tags,url,exchange,symbol,ticker,price,about,last_modified
Alphabet Inc Class C,[],https://www.google.com/finance/quote/GOOG:NASDAQ?hl=en,NASDAQ,GOOG,GOOG:NASDAQ,191.38,,2024-12-14 21:17:48.723862
Amazon.com Inc,[],https://www.google.com/finance/quote/AMZN:NASDAQ?hl=en,NASDAQ,AMZN,AMZN:NASDAQ,227.46,,2024-12-14 22:06:36.266834
NVIDIA Corp,[],https://www.google.com/finance/quote/NVDA:NASDAQ?hl=en,NASDAQ,NVDA,NVDA:NASDAQ,134.25,,2024-12-14 21:17:48.725227
Apple Inc,[],https://www.google.com/finance/quote/AAPL:NASDAQ?hl=en,NASDAQ,AAPL,AAPL:NASDAQ,248.13,,2024-12-14 22:06:36.265476
Microsoft Corp,[],https://www.google.com/finance/quote/MSFT:NASDAQ?hl=en,NASDAQ,MSFT,MSFT:NASDAQ,447.27,,2024-12-14 22:06:36.270090
Boeing Co,[],https://www.google.com/finance/quote/BA:NYSE?hl=en,NYSE,BA,BA:NYSE,169.65,,2024-12-14 21:17:48.727461
Tesla Inc,[],https://www.google.com/finance/quote/TSLA:NASDAQ?hl=en,NASDAQ,TSLA,TSLA:NASDAQ,436.23,,2024-12-14 22:06:36.262593
Snowflake Inc,[],https://www.google.com/finance/quote/SNOW:NYSE?hl=en,NYSE,SNOW,SNOW:NYSE,167.67,,2024-12-14 21:17:48.728502
Meta Platforms Inc,[],https://www.google.com/finance/quote/META:NASDAQ?hl=en,NASDAQ,META,META:NASDAQ,620.35,,2024-12-14 21:17:48.728930
Crowdstrike Holdings Inc,[],https://www.google.com/finance/quote/CRWD:NASDAQ?hl=en,NASDAQ,CRWD,CRWD:NASDAQ,368.02,,2024-12-14 21:17:48.729756
S&P 500,[],https://www.google.com/finance/quote/.INX:INDEXSP?hl=en,INDEXSP,Index,.INX:INDEXSP,6051.09,,2024-12-14 22:06:36.259643
Dow Jones Industrial Average,[],https://www.google.com/finance/quote/.DJI:INDEXDJX?hl=en,INDEXDJX,Index,.DJI:INDEXDJX,43828.06,,2024-12-14 22:06:36.260852
S&P/TSX Composite Index,[],https://www.google.com/finance/quote/OSPTX:INDEXTSI?hl=en,INDEXTSI,Index,OSPTX:INDEXTSI,25274.30,,2024-12-14 22:06:36.261297
Air Canada,[],https://www.google.com/finance/quote/AC:TSE?hl=en,TSE,AC,AC:TSE,25.04,,2024-12-14 22:06:36.262109
Fortis Inc,[],https://www.google.com/finance/quote/FTS:NYSE?hl=en,NYSE,FTS,FTS:NYSE,42.33,,2024-12-14 22:06:36.263006
Enbridge Inc,[],https://www.google.com/finance/quote/ENB:NYSE?hl=en,NYSE,ENB,ENB:NYSE,41.91,,2024-12-14 22:06:36.264001
