ticker,label,value
GOOGL:NASDAQ,Previous close,$191.96
GOOGL:NASDAQ,Day range,$189.64 - $192.73
GOOGL:NASDAQ,Year range,$130.67 - $195.61
GOOGL:NASDAQ,Market cap,2.33T USD
GOOGL:NASDAQ,Avg Volume,29.27M
GOOGL:NASDAQ,P/E ratio,25.18
GOOGL:NASDAQ,Dividend yield,0.42%
GOOGL:NASDAQ,Primary exchange,NASDAQ
GOOGL:NASDAQ,CDP Climate Change Score,A
GOOGL:NASDAQ,CEO,Sundar Pichai
GOOGL:NASDAQ,Founded,"Oct 2, 2015"
GOOGL:NASDAQ,Headquarters,"Mountain View, CaliforniaUnited States"
GOOGL:NASDAQ,Website,abc.xyz
GOOGL:NASDAQ,Employees,"181,269"
URA:NYSEARCA,Previous close,$30.10
URA:NYSEARCA,Day range,$29.37 - $30.26
URA:NYSEARCA,Year range,$22.80 - $33.99
URA:NYSEARCA,Avg Volume,615.35K
URA:NYSEARCA,Founded,"Jul 22, 2010"
